TITLE,TOKENS,TOKENS-VAD,V-MED,A-MED,D-MED
"Порошенко решил наказать волынских депутатов за прохладный прием во время ""томос-тура""","порошенк,реша,наказыва,волынск,депутат,прохладн,при,врем,томос,тур",тур (0.663;0.545;0.543) ,0.663,0.545,0.543
Победить и заработать. Порошенко использует грязные избирательные технологии,"побежда,зарабатыва,порошенк,использова,грязн,избирательн,технолог",грязн (0.153;0.460;0.170) ,0.153,0.46,0.17
Порошенко не дал заснять себя на мобильный телефон,"порошенк,дава,заснима,мобильн,телефон",мобильн (0.615;0.569;0.481) ,0.615,0.569,0.481
Интронизация главы новой украинской церкви Епифания состоится 3 февраля,"интронизац,глав,нов,украинск,церков,епифан,состоя,феврал","глав (0.550;0.410;0.345) ,нов (0.917;0.490;0.582) ",0.734,0.45,0.463
Сторонники новой украинской церкви опечатали храм УПЦ в Ивано-Франковской области,"сторонник,нов,украинск,церков,опечатыва,храм,упц,ива,франковск,област",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
Силовые захваты храмов,"силов,захват,храм",захват (0.357;0.650;0.537) ,0.357,0.65,0.537
Крестовый поход богохульника Порошенко утопит Украину в крови,"крестов,поход,богохульник,порошенк,утаплива,украин,кров","поход (0.615;0.442;0.538) ,кров (0.219;0.684;0.585) ",0.417,0.563,0.561
Силовые захваты храмов,"силов,захват,храм",захват (0.357;0.650;0.537) ,0.357,0.65,0.537
Рада узаконила рейдерский захват церквей,"рад,узаконива,рейдерск,захват,церков","рад (0.573;0.402;0.358) ,захват (0.357;0.650;0.537) ",0.465,0.526,0.448
Верховная рада узаконила изъятие храмов у канонической УПЦ,"верховн,рад,узаконива,изъят,храм,каноническ,упц",рад (0.573;0.402;0.358) ,0.573,0.402,0.358
Принадлежность украинских церквей решится на сходе,"принадлежн,украинск,церков,реша,сход","принадлежн (0.443;0.726;0.509) ,сход (0.635;0.471;0.539) ",0.539,0.599,0.524
Верховная рада узаконила рейдерский захват храмов на Украине,"верховн,рад,узаконива,рейдерск,захват,храм,украин","рад (0.573;0.402;0.358) ,захват (0.357;0.650;0.537) ",0.465,0.526,0.448
Рада одобрила правила перехода общин из одной церкви в другую,"рад,одобря,прав,переход,общин,церков","рад (0.573;0.402;0.358) ,прав (0.458;0.473;0.444) ,переход (0.605;0.561;0.558) ",0.545,0.479,0.453
СБУ идет в атаку. Вслед за Вышинским взялись за его адвоката,"сбу,идт,атак,вслед,вышинск,взят,адвокат",идт (0.510;0.441;0.444) ,0.51,0.441,0.444
Пресс-служба УПЦ: Закон о порядке перехода общин в новую церковь направлен на захват храмов сторонниками автокефалии,"пресс,служб,упц,закон,порядок,переход,общин,нов,церков,направля,захват,храм,сторонник,автокефал","переход (0.605;0.561;0.558) ,нов (0.917;0.490;0.582) ,захват (0.357;0.650;0.537) ",0.626,0.567,0.559
Чемерис: На Украине власть закрывает рот инакомыслящим,"чемерис,украин,власт,закрыва,рот,инакомысля","закрыва (0.385;0.456;0.475) ,инакомысля (0.354;0.676;0.409) ",0.369,0.566,0.442
Facebook заявила об удалении сотен аккаунтов,"facebook,заявля,удален,сотн,аккаунт",удален (0.062;0.506;0.462) ,0.062,0.506,0.462
Рада приняла закон о порядке перехода общин из одной церкви в другую,"рад,принима,закон,порядок,переход,общин,церков","рад (0.573;0.402;0.358) ,переход (0.605;0.561;0.558) ",0.589,0.482,0.458
Бойко заявил,"бойк,заявля",бойк (0.438;0.433;0.381) ,0.438,0.433,0.381
"Золотарев: Законы о языке и томосе могут ""спалить хату"" Порошенко","золотар,закон,язык,томос,моч,спал,хат,порошенк",моч (0.449;0.529;0.391) ,0.449,0.529,0.391
В Раде не связывают закон о церковных общинах с выборами президента Украины,"рад,связыва,закон,церковн,общин,выбор,президент,украин",рад (0.573;0.402;0.358) ,0.573,0.402,0.358
Асад заявил о попытках разделения Антиохийской церкви в Сирии и Ливане,"асад,заявля,попытк,разделен,антиохийск,церков,сир,лива","попытк (0.625;0.491;0.431) ,разделен (0.271;0.623;0.391) ",0.448,0.557,0.411
В УПЦ считают,"упц,счита",счита (0.500;0.562;0.547) ,0.5,0.562,0.547
