NAME,TOKENS
"Глава ""новой церкви"" Украины заявил","глав,нов,церков,украин,заявля"
"Порошенко отжигает в ""томос-туре"": Кирилл и Путин во всем виноваты","порошенк,отжига,томос,тур,кирилл,путин,виноват"
Европейские ценности пришли! Весь Киев шокирован новыми платежками за газ,"европейск,ценност,приход,ве,ки,шокирова,нов,платежк,газ"
Интронизация Епифания пройдет в день его 40-летия,"интронизац,епифан,пройт,ден,лет"
"Стала известна дата ""интронизации"" Епифания","станов,известн,дат,интронизац,епифан"
Неудобный вопрос. Порошенко выбил смартфон из рук снимавшего его украинца,"неудобн,вопрос,порошенк,выбива,смартфон,рук,снима,украинец"
Аксёнов: Население Украины для Порошенко - расходный материал,"акс,нов,населен,украин,порошенк,расходн,материа"
"Главу украинских раскольников официально ""интронизируют"" в день рождения","глав,украинск,раскольник,официальн,интронизирова,ден,рожден"
В Виннице шеф-редактора телеканала уволили за сюжет о канонической УПЦ,"винниц,шеф,редактор,телекана,увольня,сюжет,каноническ,упц"
Правозащитники отмечают значительное ограничение свободы СМИ на Украине в 2018 году,"правозащитник,отмеча,значительн,ограничен,свобод,сми,украин,год"
"Порошенко решил наказать волынских депутатов за прохладный прием во время ""томос-тура""","порошенк,реша,наказыва,волынск,депутат,прохладн,при,врем,томос,тур"
Победить и заработать. Порошенко использует грязные избирательные технологии,"побежда,зарабатыва,порошенк,использова,грязн,избирательн,технолог"
Порошенко не дал заснять себя на мобильный телефон,"порошенк,дава,заснима,мобильн,телефон"
ПЦУ назначила дату возведения на престол митрополита Епифания,"пцу,назнача,дат,возведен,престол,митропол,епифан"
Фото греко-католического священника использовали на билборде с Порошенко,"фот,грек,католическ,священник,использова,билборд,порошенк"
Интронизация главы новой украинской церкви Епифания состоится 3 февраля,"интронизац,глав,нов,украинск,церков,епифан,состоя,феврал"
Сторонники новой украинской церкви опечатали храм УПЦ в Ивано-Франковской области,"сторонник,нов,украинск,церков,опечатыва,храм,упц,ива,франковск,област"
Силовые захваты храмов,"силов,захват,храм"
Крестовый поход богохульника Порошенко утопит Украину в крови,"крестов,поход,богохульник,порошенк,утаплива,украин,кров"
Силовые захваты храмов,"силов,захват,храм"
Рада узаконила рейдерский захват церквей,"рад,узаконива,рейдерск,захват,церков"
Верховная рада узаконила изъятие храмов у канонической УПЦ,"верховн,рад,узаконива,изъят,храм,каноническ,упц"
Порошенко утверждает,"порошенк,утвержда"
Легойда заявил,"легойд,заявля"
Патриарх Антиохийский выразил поддержку РПЦ в ситуации с расколом на Украине,"патриарх,антиохийск,выража,поддержк,рпц,ситуац,раскол,украин"
Принадлежность украинских церквей решится на сходе,"принадлежн,украинск,церков,реша,сход"
Верховная рада узаконила рейдерский захват храмов на Украине,"верховн,рад,узаконива,рейдерск,захват,храм,украин"
Историк: Провокаций от Порошенко нужно ждать в конце выборов,"историк,провокац,порошенк,нужн,ждат,конец,выбор"
Как Сталин русинов с русскими перепутал,"сталин,русин,русск,перепутыва"
Рада одобрила правила перехода общин из одной церкви в другую,"рад,одобря,прав,переход,общин,церков"
Кроме церкви - ничего: Дубинский интересуется,"кром,церков,ничт,дубинск,интересова"
СБУ идет в атаку. Вслед за Вышинским взялись за его адвоката,"сбу,идт,атак,вслед,вышинск,взят,адвокат"
Пресс-служба УПЦ: Закон о порядке перехода общин в новую церковь направлен на захват храмов сторонниками автокефалии,"пресс,служб,упц,закон,порядок,переход,общин,нов,церков,направля,захват,храм,сторонник,автокефал"
Чемерис: На Украине власть закрывает рот инакомыслящим,"чемерис,украин,власт,закрыва,рот,инакомысля"
Facebook заявила об удалении сотен аккаунтов,"facebook,заявля,удален,сотн,аккаунт"
Рада приняла закон о порядке перехода общин из одной церкви в другую,"рад,принима,закон,порядок,переход,общин,церков"
Бойко заявил,"бойк,заявля"
"Золотарев: Законы о языке и томосе могут ""спалить хату"" Порошенко","золотар,закон,язык,томос,моч,спал,хат,порошенк"
В Раде не связывают закон о церковных общинах с выборами президента Украины,"рад,связыва,закон,церковн,общин,выбор,президент,украин"
Асад заявил о попытках разделения Антиохийской церкви в Сирии и Ливане,"асад,заявля,попытк,разделен,антиохийск,церков,сир,лива"
В УПЦ считают,"упц,счита"
Духовный раскол. Почему Папе Римскому не нужна украинская церковь,"духовн,раскол,поч,пап,римск,нужн,украинск,церков"
Томос-тур не добавит Порошенко избирателей – Александр Дюков,"томос,тур,добавля,порошенк,избирател,александр,дюк"
Верховная Рада утвердила антицерковное рейдерство. Теперь УПЦ будут лишать храмов законно,"верховн,рад,утвержда,антицерковн,рейдерств,упц,лиша,храм,закон"
